date_id,full_date,year,month,day
145,2021-02-10,2021,2,10
146,2023-04-20,2023,4,20
147,2020-11-09,2020,11,9
148,2025-07-28,2025,7,28
149,2021-06-23,2021,6,23
150,2025-03-21,2025,3,21
151,2020-01-19,2020,1,19
152,2025-12-04,2025,12,4
153,2024-05-24,2024,5,24
154,2023-05-01,2023,5,1
155,2021-03-03,2021,3,3
156,2020-01-03,2020,1,3
157,2025-04-16,2025,4,16
158,2022-11-04,2022,11,4
159,2025-06-24,2025,6,24
160,2020-01-24,2020,1,24
161,2025-01-20,2025,1,20
162,2024-05-25,2024,5,25
163,2021-06-09,2021,6,9
164,2024-02-22,2024,2,22
165,2022-11-24,2022,11,24
166,2024-10-08,2024,10,8
167,2021-08-02,2021,8,2
168,2022-03-24,2022,3,24
169,2021-05-27,2021,5,27
170,2023-11-29,2023,11,29
171,2024-06-11,2024,6,11
172,2023-05-11,2023,5,11
173,2025-04-13,2025,4,13
174,2020-12-21,2020,12,21
175,2024-03-14,2024,3,14
176,2023-08-25,2023,8,25
177,2024-04-28,2024,4,28
178,2020-01-05,2020,1,5
179,2023-09-30,2023,9,30
180,2025-06-11,2025,6,11
181,2023-06-03,2023,6,3
182,2023-12-04,2023,12,4
183,2025-09-13,2025,9,13
184,2023-09-24,2023,9,24
185,2022-06-07,2022,6,7
186,2020-02-06,2020,2,6
187,2024-09-22,2024,9,22
188,2024-09-06,2024,9,6
189,2024-07-22,2024,7,22
190,2022-09-01,2022,9,1
191,2024-07-05,2024,7,5
192,2021-02-19,2021,2,19
193,2025-02-11,2025,2,11
194,2024-12-27,2024,12,27
195,2025-10-10,2025,10,10
196,2020-03-13,2020,3,13
197,2025-10-18,2025,10,18
198,2024-06-14,2024,6,14
199,2021-03-13,2021,3,13
200,2020-03-14,2020,3,14
201,2021-11-11,2021,11,11
202,2022-12-19,2022,12,19
203,2023-11-12,2023,11,12
204,2021-03-04,2021,3,4
205,2023-12-16,2023,12,16
206,2020-03-26,2020,3,26
207,2021-10-21,2021,10,21
208,2024-12-09,2024,12,9
209,2022-03-14,2022,3,14
210,2025-01-05,2025,1,5
211,2023-08-26,2023,8,26
212,2024-09-29,2024,9,29
213,2023-08-03,2023,8,3
214,2022-08-20,2022,8,20
215,2024-09-16,2024,9,16
216,2021-11-29,2021,11,29
217,2020-08-08,2020,8,8
218,2022-06-04,2022,6,4
219,2023-04-11,2023,4,11
220,2020-07-13,2020,7,13
221,2024-04-10,2024,4,10
222,2020-12-07,2020,12,7
223,2021-11-02,2021,11,2
224,2023-05-12,2023,5,12
225,2024-12-06,2024,12,6
226,2021-12-11,2021,12,11
227,2022-06-29,2022,6,29
228,2024-01-19,2024,1,19
229,2020-09-16,2020,9,16
230,2023-04-10,2023,4,10
231,2021-08-17,2021,8,17
232,2022-03-19,2022,3,19
233,2020-08-11,2020,8,11
234,2023-10-12,2023,10,12
235,2021-04-06,2021,4,6
236,2025-02-02,2025,2,2
237,2020-02-03,2020,2,3
238,2020-02-21,2020,2,21
239,2025-12-22,2025,12,22
240,2024-01-02,2024,1,2
241,2025-12-10,2025,12,10
242,2020-02-18,2020,2,18
243,2020-10-20,2020,10,20
244,2025-03-01,2025,3,1
245,2020-02-17,2020,2,17
246,2024-04-14,2024,4,14
247,2022-02-08,2022,2,8
248,2024-08-03,2024,8,3
249,2020-07-11,2020,7,11
