date_id,full_date,year,month,day
230,2024-01-12,2024,1,12
231,2021-07-14,2021,7,14
232,2023-05-18,2023,5,18
233,2025-05-07,2025,5,7
234,2021-08-29,2021,8,29
235,2020-06-05,2020,6,5
236,2025-10-14,2025,10,14
237,2020-09-03,2020,9,3
238,2025-11-24,2025,11,24
239,2020-10-06,2020,10,6
240,2024-10-15,2024,10,15
241,2024-12-08,2024,12,8
242,2020-07-22,2020,7,22
243,2022-12-08,2022,12,8
244,2025-02-26,2025,2,26
245,2020-05-25,2020,5,25
246,2022-11-02,2022,11,2
247,2023-06-15,2023,6,15
248,2020-02-10,2020,2,10
249,2025-08-28,2025,8,28
250,2023-06-25,2023,6,25
251,2022-06-02,2022,6,2
252,2021-11-15,2021,11,15
253,2025-04-10,2025,4,10
254,2020-10-08,2020,10,8
255,2024-05-21,2024,5,21
256,2025-07-17,2025,7,17
257,2023-10-04,2023,10,4
258,2022-12-03,2022,12,3
259,2024-12-05,2024,12,5
260,2021-07-18,2021,7,18
261,2021-12-17,2021,12,17
262,2025-08-24,2025,8,24
263,2023-04-08,2023,4,8
264,2021-11-20,2021,11,20
265,2024-02-07,2024,2,7
266,2025-03-21,2025,3,21
267,2020-01-28,2020,1,28
268,2022-12-25,2022,12,25
269,2023-08-05,2023,8,5
270,2025-02-19,2025,2,19
271,2022-06-24,2022,6,24
272,2020-07-02,2020,7,2
273,2021-06-26,2021,6,26
274,2025-07-11,2025,7,11
275,2022-06-06,2022,6,6
276,2024-08-09,2024,8,9
277,2020-07-09,2020,7,9
278,2021-06-09,2021,6,9
279,2020-06-13,2020,6,13
280,2021-08-04,2021,8,4
281,2024-07-28,2024,7,28
282,2022-02-07,2022,2,7
283,2025-04-03,2025,4,3
284,2025-12-30,2025,12,30
285,2020-01-05,2020,1,5
286,2024-04-07,2024,4,7
287,2023-07-30,2023,7,30
288,2021-10-16,2021,10,16
289,2023-07-06,2023,7,6
290,2022-08-12,2022,8,12
291,2023-10-08,2023,10,8
292,2023-04-23,2023,4,23
293,2020-02-28,2020,2,28
294,2024-06-03,2024,6,3
295,2020-12-31,2020,12,31
296,2020-12-05,2020,12,5
297,2023-10-02,2023,10,2
298,2020-04-03,2020,4,3
299,2023-02-12,2023,2,12
300,2020-05-01,2020,5,1
301,2020-03-13,2020,3,13
302,2025-10-17,2025,10,17
303,2024-03-10,2024,3,10
304,2023-02-15,2023,2,15
305,2020-05-23,2020,5,23
306,2025-03-03,2025,3,3
307,2021-12-03,2021,12,3
308,2020-10-04,2020,10,4
309,2024-05-06,2024,5,6
310,2020-12-13,2020,12,13
311,2025-11-21,2025,11,21
312,2020-12-25,2020,12,25
313,2025-11-14,2025,11,14
314,2025-01-06,2025,1,6
315,2023-06-09,2023,6,9
316,2024-01-29,2024,1,29
317,2020-08-14,2020,8,14
318,2023-04-01,2023,4,1
319,2025-06-10,2025,6,10
320,2020-11-05,2020,11,5
321,2021-01-23,2021,1,23
322,2022-07-25,2022,7,25
323,2024-05-12,2024,5,12
324,2022-04-28,2022,4,28
325,2023-10-30,2023,10,30
326,2025-01-20,2025,1,20
327,2025-04-18,2025,4,18
328,2022-01-30,2022,1,30
329,2021-02-17,2021,2,17
330,2024-07-19,2024,7,19
331,2021-04-30,2021,4,30
332,2025-05-11,2025,5,11
333,2025-04-16,2025,4,16
