ItemID,ItemName,Category,Quantity,Price,Supplier,DateAdded
160,Soldier,Clothing,75.0,,SupplierD,2026-13-01
161,Administration,Toys,,N/A,SupplierB,
162,Decade,Clothing,,464.08,SupplierA,2026-13-01
163,Ago,Furniture,76.0,-20.5,SupplierA,2026-13-01
164,House,Toys,26.0,70.33,SupplierC,2026-13-01
165,Herself,Electronics,97.0,N/A,SupplierA,2025-02-15
166,Interesting,Electronics,,,,
167,Opportunity,Groceries,,,SupplierB,2023-01-06
168,Material,Toys,-5.0,-20.5,SupplierC,2025-12-21
169,Mouth,Toys,51.0,-20.5,SupplierC,2026-13-01
170,Good,Groceries,2.0,,SupplierD,
171,Necessary,Furniture,,,SupplierC,
172,Class,Groceries,9.0,495.33,SupplierB,
173,Blue,Electronics,,-20.5,SupplierA,2020-07-03
174,Former,Furniture,,,SupplierB,
175,Skin,Groceries,-5.0,N/A,SupplierC,
176,All,Electronics,-5.0,N/A,SupplierD,
177,Cut,Electronics,99.0,,SupplierC,2026-13-01
178,Dog,Groceries,-5.0,389.85,,2026-13-01
179,Expect,Groceries,,N/A,SupplierB,2026-13-01
180,Last,Toys,-5.0,N/A,SupplierA,2026-13-01
181,Evidence,Groceries,,-20.5,,
182,Machine,Furniture,,-20.5,SupplierC,
183,Star,Electronics,,N/A,SupplierC,2026-13-01
184,Generation,Clothing,,308.15,SupplierB,2022-02-06
185,Within,Electronics,39.0,N/A,SupplierD,
186,Around,Furniture,-5.0,,SupplierC,2026-13-01
187,Tv,Clothing,95.0,-20.5,SupplierB,2026-13-01
188,Such,Electronics,-5.0,-20.5,SupplierC,
189,Choose,Toys,68.0,,SupplierC,
190,Director,Furniture,,N/A,,
191,Writer,Clothing,-5.0,,,2020-02-15
192,Suggest,Clothing,-5.0,N/A,SupplierC,
193,Amount,Toys,75.0,N/A,,2026-13-01
194,Research,Groceries,48.0,,SupplierB,2023-09-08
195,Total,Groceries,95.0,-20.5,,
196,Miss,Groceries,-5.0,,SupplierA,2020-04-10
197,Front,Groceries,-5.0,N/A,,2026-13-01
198,Game,Electronics,60.0,432.2,SupplierC,2026-13-01
199,Month,Groceries,-5.0,N/A,,2026-13-01
200,On,Clothing,73.0,107.57,,2023-12-12
201,Data,Clothing,97.0,N/A,SupplierA,
202,Fast,Groceries,-5.0,-20.5,,2026-13-01
203,Sea,Toys,,N/A,,2024-07-25
204,Loss,Clothing,,-20.5,,2026-13-01
205,Red,Groceries,-5.0,55.33,,2026-13-01
206,Strategy,Groceries,-5.0,160.93,SupplierD,2021-10-14
207,Second,Furniture,-5.0,215.79,SupplierC,2026-13-01
208,Bill,Clothing,,N/A,,2025-06-13
209,Rise,Clothing,-5.0,350.22,SupplierC,2024-06-27
210,Establish,Clothing,,-20.5,SupplierD,2026-13-01
211,Teach,Toys,-5.0,365.13,SupplierA,
212,Local,Clothing,74.0,N/A,SupplierB,2025-07-09
213,Under,Groceries,45.0,,,2026-13-01
214,Information,Toys,,,SupplierB,
215,Little,Clothing,-5.0,N/A,SupplierB,
216,Hundred,Groceries,-5.0,118.45,SupplierB,2020-03-31
217,Campaign,Groceries,,,SupplierB,2026-13-01
218,Child,Electronics,-5.0,-20.5,SupplierC,2026-13-01
219,Discuss,Toys,,,SupplierC,2022-07-31
220,Onto,Electronics,-5.0,292.14,SupplierD,2025-07-14
221,Serious,Electronics,-5.0,,,2026-13-01
222,Able,Groceries,,N/A,SupplierA,
223,Cover,Electronics,,,SupplierD,
224,Point,Furniture,68.0,,SupplierC,
225,General,Furniture,-5.0,-20.5,SupplierB,2020-02-19
226,Box,Toys,,-20.5,SupplierB,2026-13-01
227,Somebody,Electronics,,-20.5,,
228,Moment,Toys,35.0,-20.5,SupplierB,
229,Bank,Groceries,-5.0,-20.5,SupplierA,2025-04-28
230,Bit,Electronics,30.0,125.04,SupplierB,2022-04-16
231,Into,Electronics,,-20.5,SupplierD,2026-13-01
232,Nearly,Groceries,-5.0,N/A,,
233,Dream,Clothing,,-20.5,SupplierB,2023-08-28
234,On,Electronics,-5.0,N/A,,
235,From,Furniture,-5.0,-20.5,SupplierA,2026-13-01
236,So,Electronics,-5.0,-20.5,,2026-13-01
237,Child,Clothing,55.0,,SupplierC,
238,From,Furniture,,-20.5,SupplierB,2021-04-17
239,However,Clothing,91.0,,SupplierB,2024-09-28
240,Material,Furniture,46.0,-20.5,SupplierB,2024-02-24
241,Day,Toys,20.0,N/A,SupplierC,2026-13-01
242,However,Electronics,39.0,,SupplierD,2026-13-01
243,Culture,Clothing,-5.0,55.95,SupplierD,2026-13-01
244,Pattern,Furniture,-5.0,,,
245,Good,Clothing,,,SupplierD,2026-13-01
246,Receive,Electronics,,N/A,SupplierD,
247,Expect,Groceries,65.0,-20.5,SupplierD,2026-13-01
248,Along,Groceries,80.0,N/A,,
249,Next,Groceries,29.0,,SupplierB,
250,Protect,Toys,27.0,-20.5,,
251,Purpose,Toys,59.0,N/A,SupplierB,2026-13-01
252,Parent,Electronics,,N/A,SupplierA,2026-13-01
253,City,Groceries,,-20.5,,2026-13-01
254,Back,Groceries,,N/A,,2026-13-01
255,Our,Clothing,,-20.5,SupplierD,2026-13-01
256,Term,Clothing,,,,2022-04-11
257,Political,Furniture,,N/A,,2020-09-20
258,Sell,Clothing,4.0,N/A,SupplierB,
259,President,Clothing,,N/A,,2026-13-01
260,True,Toys,-5.0,60.11,SupplierC,2026-13-01
261,Down,Electronics,-5.0,N/A,SupplierC,2026-13-01
262,Floor,Groceries,,N/A,SupplierC,2026-13-01
263,Method,Toys,12.0,,SupplierB,
264,Rest,Clothing,51.0,N/A,,2023-11-05
265,Economy,Toys,-5.0,,SupplierD,
266,Wear,Toys,-5.0,-20.5,,2026-13-01
267,About,Clothing,,N/A,,2026-13-01
268,Stop,Clothing,-5.0,-20.5,SupplierA,2020-01-26
269,Throughout,Toys,,N/A,SupplierC,2022-04-25
270,Carry,Clothing,-5.0,N/A,SupplierD,2026-13-01
271,Grow,Clothing,89.0,N/A,SupplierB,2020-12-17
272,Answer,Electronics,85.0,-20.5,,
273,Imagine,Groceries,-5.0,-20.5,SupplierA,2021-12-30
274,Plant,Groceries,-5.0,-20.5,SupplierB,2026-13-01
275,Create,Groceries,100.0,-20.5,SupplierA,
276,Run,Electronics,-5.0,-20.5,,2026-13-01
277,Idea,Electronics,,,SupplierA,
278,Prevent,Clothing,-5.0,3.52,SupplierB,
279,Human,Furniture,,,SupplierB,2024-10-17
280,Set,Clothing,,,SupplierA,2026-13-01
281,Particular,Electronics,-5.0,402.54,SupplierD,2024-11-30
282,Ball,Toys,-5.0,487.36,SupplierC,2025-01-28
283,Hold,Clothing,,,SupplierB,2026-13-01
284,Thing,Toys,,N/A,SupplierA,2026-13-01
285,If,Clothing,28.0,,SupplierD,2026-13-01
286,Rule,Clothing,-5.0,,,2024-01-19
287,Chair,Clothing,,-20.5,SupplierD,2026-13-01
288,Beautiful,Toys,,N/A,SupplierB,2020-04-13
289,Year,Electronics,-5.0,N/A,SupplierA,
290,Amount,Groceries,-5.0,N/A,,2023-12-20
291,Tv,Groceries,8.0,N/A,SupplierA,2026-13-01
292,Operation,Groceries,-5.0,-20.5,SupplierA,2024-05-25
293,Customer,Toys,89.0,N/A,,2023-12-03
294,Sell,Groceries,54.0,N/A,,2026-13-01
295,His,Groceries,5.0,N/A,SupplierA,2026-13-01
296,It,Electronics,1.0,,SupplierC,
297,Among,Electronics,48.0,-20.5,SupplierC,2024-02-02
298,Imagine,Clothing,-5.0,-20.5,SupplierA,2026-13-01
299,Five,Clothing,-5.0,339.52,SupplierC,2021-03-31
300,Past,Toys,-5.0,N/A,SupplierC,2025-11-26
301,Approach,Furniture,,N/A,SupplierB,2026-13-01
302,Although,Furniture,,180.86,SupplierB,2026-13-01
303,According,Toys,-5.0,89.77,SupplierA,2023-01-29
304,Begin,Electronics,-5.0,326.44,SupplierD,2026-13-01
305,Themselves,Toys,-5.0,N/A,SupplierA,2022-01-26
306,Hit,Groceries,,N/A,SupplierA,2026-13-01
307,Watch,Toys,7.0,-20.5,SupplierD,2026-13-01
308,Join,Toys,38.0,365.03,SupplierB,2026-13-01
309,Science,Groceries,61.0,,SupplierB,
310,Education,Furniture,95.0,-20.5,SupplierD,
311,Professional,Electronics,34.0,320.02,SupplierB,
312,Too,Groceries,,N/A,SupplierA,2021-10-05
313,Ahead,Clothing,,,SupplierC,
314,Candidate,Clothing,-5.0,336.0,SupplierD,
315,Remember,Furniture,,N/A,SupplierD,2026-13-01
316,Arrive,Groceries,53.0,N/A,SupplierC,2026-13-01
317,Language,Clothing,80.0,N/A,,2024-09-30
318,Performance,Furniture,-5.0,-20.5,SupplierC,2024-11-07
319,Nearly,Furniture,88.0,461.99,SupplierC,
320,Job,Groceries,-5.0,-20.5,,2026-13-01
321,Blue,Groceries,-5.0,,SupplierC,
322,Year,Groceries,,,SupplierD,
323,Yes,Furniture,82.0,N/A,SupplierD,2026-13-01
324,Give,Clothing,,-20.5,SupplierD,2026-13-01
325,Must,Furniture,-5.0,N/A,SupplierD,2026-13-01
326,Service,Toys,87.0,N/A,,
327,I,Groceries,,-20.5,,
328,Science,Toys,,N/A,SupplierB,2024-03-27
329,Source,Furniture,76.0,-20.5,,
330,Trial,Clothing,,N/A,SupplierA,2026-13-01
331,Seem,Clothing,-5.0,,,2026-13-01
332,Culture,Groceries,-5.0,,,2024-11-23
333,Enter,Electronics,15.0,-20.5,SupplierB,2023-04-07
334,Pass,Furniture,,N/A,SupplierB,
335,Future,Electronics,33.0,-20.5,SupplierD,2022-01-29
336,Next,Toys,,-20.5,SupplierB,2026-13-01
337,Generation,Furniture,70.0,N/A,SupplierD,
338,Court,Electronics,61.0,-20.5,,
339,Fine,Toys,-5.0,27.7,SupplierA,
340,Research,Electronics,27.0,-20.5,SupplierA,
341,Protect,Toys,-5.0,N/A,SupplierB,2026-01-03
342,Clearly,Groceries,,N/A,SupplierD,2023-12-25
343,Question,Toys,-5.0,-20.5,,2026-13-01
344,Real,Electronics,65.0,N/A,SupplierA,2022-08-24
345,None,Groceries,-5.0,338.5,SupplierD,2026-13-01
346,Human,Groceries,-5.0,,SupplierB,
347,Will,Electronics,,,SupplierC,
348,Someone,Toys,,180.82,,2025-09-12
349,Position,Groceries,-5.0,,SupplierD,2026-13-01
350,Much,Electronics,-5.0,404.37,SupplierB,2020-01-19
351,Collection,Furniture,-5.0,,SupplierD,2026-13-01
352,Authority,Groceries,,174.65,SupplierC,2020-02-22
353,Style,Clothing,-5.0,367.3,SupplierD,
354,Accept,Clothing,-5.0,-20.5,SupplierD,
355,Month,Groceries,-5.0,-20.5,SupplierD,
356,Radio,Electronics,-5.0,409.29,,
357,Decade,Electronics,-5.0,366.21,SupplierA,2026-13-01
358,Thing,Toys,,,SupplierB,2021-02-18
359,Couple,Groceries,-5.0,,SupplierB,2023-05-31
360,For,Toys,52.0,,SupplierA,2024-06-05
361,Outside,Clothing,,-20.5,SupplierB,
362,Stay,Groceries,30.0,263.32,SupplierC,2025-08-15
363,Dog,Electronics,,N/A,SupplierB,
364,Part,Clothing,14.0,N/A,SupplierB,
365,Now,Clothing,95.0,,SupplierD,2024-07-18
366,Job,Groceries,23.0,-20.5,SupplierC,
367,Dog,Clothing,31.0,-20.5,SupplierA,2020-04-17
368,Respond,Groceries,28.0,,SupplierD,
369,Across,Clothing,8.0,464.09,SupplierA,2021-10-04
370,True,Furniture,,N/A,SupplierC,2026-13-01
371,Identify,Electronics,-5.0,156.54,SupplierB,
372,Drug,Toys,-5.0,,SupplierB,
373,Religious,Electronics,73.0,,,
374,Real,Groceries,69.0,N/A,SupplierC,2026-13-01
375,Today,Groceries,66.0,N/A,,
376,Pull,Electronics,-5.0,-20.5,SupplierA,2026-13-01
377,Anything,Toys,-5.0,N/A,,
378,Career,Groceries,,-20.5,SupplierB,2021-02-05
379,Say,Toys,97.0,347.75,SupplierB,2020-10-27
380,State,Groceries,,,,2025-03-13
381,Fear,Groceries,-5.0,,SupplierB,
382,So,Electronics,-5.0,,SupplierD,2026-13-01
383,Herself,Toys,,83.97,SupplierA,2023-09-16
384,Western,Toys,31.0,-20.5,SupplierD,2021-03-07
385,Lawyer,Electronics,-5.0,,SupplierC,
386,American,Toys,54.0,,SupplierD,
387,Student,Electronics,18.0,-20.5,SupplierD,2026-13-01
388,Bank,Groceries,,388.46,SupplierD,
389,Listen,Clothing,,,SupplierB,
390,Issue,Clothing,-5.0,-20.5,SupplierA,2026-13-01
391,Sure,Furniture,,,SupplierA,
392,Space,Furniture,-5.0,,SupplierA,
393,Describe,Furniture,,328.69,SupplierD,
394,Center,Toys,50.0,78.58,SupplierA,2026-13-01
395,She,Clothing,,N/A,SupplierB,2024-10-03
396,Clear,Furniture,-5.0,-20.5,SupplierC,2024-06-28
397,Get,Toys,,102.7,SupplierB,2022-03-31
398,Adult,Clothing,100.0,,SupplierC,2026-13-01
399,Alone,Electronics,-5.0,-20.5,SupplierB,
400,Form,Groceries,-5.0,,SupplierA,2026-13-01
401,Young,Electronics,-5.0,-20.5,SupplierD,2022-09-20
402,Wind,Groceries,-5.0,217.65,SupplierD,2026-13-01
403,Environment,Electronics,,223.38,SupplierA,2023-03-26
404,Late,Furniture,47.0,N/A,,2021-03-19
405,Eye,Electronics,,-20.5,,2026-13-01
406,Choice,Toys,,25.31,SupplierA,2026-13-01
407,Newspaper,Groceries,-5.0,,SupplierA,2026-13-01
408,Require,Clothing,-5.0,-20.5,SupplierA,2020-10-16
409,Too,Furniture,,N/A,SupplierA,
410,Within,Clothing,89.0,312.19,SupplierB,2026-13-01
411,Animal,Clothing,,-20.5,SupplierA,2022-11-30
412,Know,Clothing,,N/A,,2024-04-19
413,Population,Furniture,,-20.5,SupplierA,
414,Edge,Clothing,82.0,N/A,SupplierC,2024-04-17
415,Long,Clothing,73.0,331.69,SupplierA,2025-07-03
416,Improve,Electronics,43.0,-20.5,,2023-01-25
417,Institution,Electronics,,N/A,SupplierA,
418,Design,Furniture,40.0,126.49,SupplierA,
419,Second,Clothing,-5.0,-20.5,SupplierB,2023-01-16
420,Agreement,Toys,-5.0,,SupplierB,
421,Discover,Electronics,,N/A,SupplierC,2023-09-26
422,Maintain,Electronics,-5.0,379.4,SupplierC,2026-13-01
423,Condition,Electronics,,N/A,SupplierC,2026-13-01
424,Last,Clothing,58.0,212.87,,2025-10-03
425,Ever,Groceries,58.0,N/A,SupplierB,2026-13-01
426,Reach,Clothing,,N/A,SupplierC,
427,Action,Electronics,,N/A,SupplierA,2021-06-29
428,Majority,Groceries,95.0,,,
429,Animal,Electronics,69.0,-20.5,SupplierB,2025-04-04
430,Loss,Toys,-5.0,,SupplierA,2023-04-03
431,Hit,Furniture,-5.0,,SupplierC,2025-06-17
432,Notice,Furniture,,100.56,SupplierC,2026-13-01
433,Argue,Electronics,5.0,N/A,SupplierC,2026-13-01
434,Decade,Toys,-5.0,-20.5,,
435,Artist,Furniture,7.0,-20.5,SupplierA,
436,Child,Groceries,78.0,-20.5,SupplierC,2026-13-01
437,Special,Clothing,,,SupplierD,2026-13-01
438,Clear,Furniture,,N/A,SupplierD,2025-05-01
439,Leg,Toys,-5.0,133.77,SupplierA,2024-11-17
440,Because,Clothing,-5.0,N/A,SupplierB,
441,Back,Furniture,,-20.5,SupplierA,2025-02-23
442,Really,Toys,,-20.5,SupplierB,
443,Base,Electronics,74.0,,SupplierA,
444,Chair,Toys,59.0,N/A,SupplierB,
445,Company,Groceries,,-20.5,,2026-13-01
446,Level,Toys,,-20.5,SupplierB,2025-02-03
447,Pretty,Furniture,59.0,18.93,SupplierC,
448,Above,Clothing,,,,2023-04-07
449,Hospital,Furniture,-5.0,47.9,SupplierA,
450,Respond,Clothing,-5.0,N/A,SupplierB,2024-08-25
451,Somebody,Toys,,19.84,,
452,Available,Furniture,-5.0,-20.5,,2025-09-10
453,Successful,Electronics,,N/A,SupplierD,2026-13-01
454,Kid,Clothing,-5.0,,SupplierD,
455,Sense,Groceries,,410.9,SupplierB,2025-01-14
456,Few,Clothing,56.0,N/A,,
457,They,Electronics,-5.0,N/A,SupplierA,2026-13-01
458,From,Groceries,,-20.5,SupplierC,
459,Really,Groceries,34.0,-20.5,SupplierB,2026-13-01
460,Statement,Furniture,,59.61,,2023-01-15
461,Former,Furniture,-5.0,,SupplierC,2026-13-01
462,Quickly,Toys,-5.0,N/A,,2026-13-01
463,Think,Electronics,,-20.5,SupplierD,2020-12-23
464,Pressure,Clothing,5.0,453.91,,
465,Mother,Electronics,,-20.5,,2021-06-15
466,Suddenly,Electronics,,-20.5,SupplierC,2025-12-02
467,Pattern,Furniture,5.0,146.77,SupplierD,
468,Public,Electronics,-5.0,450.53,SupplierD,
469,Ever,Electronics,84.0,-20.5,SupplierC,2025-12-22
470,Pressure,Furniture,52.0,,,
471,Story,Electronics,-5.0,,SupplierC,2026-13-01
472,Against,Furniture,-5.0,29.9,SupplierA,
473,Amount,Clothing,-5.0,113.41,,2022-07-07
474,Item,Clothing,-5.0,,SupplierB,
475,Effort,Electronics,-5.0,-20.5,,2026-13-01
476,Meeting,Electronics,51.0,,SupplierA,2026-13-01
477,Baby,Groceries,,-20.5,SupplierB,2024-08-26
478,Character,Clothing,,461.19,SupplierA,
479,Agent,Groceries,-5.0,,,2023-09-16
480,Trial,Electronics,-5.0,N/A,SupplierD,
481,These,Electronics,-5.0,,SupplierD,
482,Husband,Furniture,-5.0,-20.5,,2026-13-01
483,National,Toys,-5.0,N/A,SupplierB,2021-04-26
484,Coach,Electronics,-5.0,-20.5,SupplierC,2023-01-17
485,Produce,Groceries,,,,
486,End,Groceries,-5.0,,SupplierB,2026-13-01
487,Shake,Furniture,-5.0,31.64,SupplierB,2023-09-09
488,Put,Electronics,72.0,N/A,SupplierB,
489,Guess,Groceries,-5.0,N/A,SupplierD,2026-13-01
490,Improve,Toys,-5.0,327.86,,2026-13-01
491,Reduce,Toys,,290.67,SupplierA,
492,Participant,Furniture,47.0,-20.5,,
493,Reveal,Groceries,19.0,-20.5,,
494,Industry,Clothing,40.0,,SupplierA,
495,Third,Electronics,-5.0,N/A,,
496,Realize,Groceries,,,SupplierC,
497,Point,Toys,,400.52,,2021-10-14
498,Late,Groceries,-5.0,N/A,SupplierD,
499,This,Electronics,49.0,N/A,SupplierD,2026-13-01
500,Article,Toys,,N/A,,2026-13-01
501,Director,Furniture,-5.0,,SupplierC,2020-11-06
502,Exactly,Furniture,85.0,-20.5,SupplierD,2022-02-23
503,Shake,Clothing,90.0,N/A,SupplierD,2026-13-01
504,Foot,Groceries,-5.0,N/A,SupplierB,
505,Everything,Groceries,,,,2022-08-01
506,Up,Electronics,94.0,450.71,SupplierD,
507,Their,Furniture,-5.0,N/A,,
508,Season,Groceries,-5.0,N/A,,2025-10-15
509,Occur,Furniture,,N/A,,
510,Reason,Clothing,39.0,,SupplierB,2024-12-01
511,Show,Toys,-5.0,,SupplierB,
512,International,Furniture,-5.0,65.34,SupplierB,2026-13-01
513,Fact,Clothing,-5.0,,SupplierA,
