student_id,major_id,date_id,Grade
131,6.0,32.0,D
132,4.0,,C
133,3.0,33.0,B
134,1.0,,A+
135,,,C
136,5.0,1.0,A+
136,5.0,3.0,A+
136,5.0,5.0,A+
137,6.0,34.0,Z
138,3.0,,D
139,,1.0,D
139,,3.0,D
139,,5.0,D
140,6.0,,A+
141,1.0,35.0,A
142,,,B
143,5.0,1.0,A
143,5.0,3.0,A
143,5.0,5.0,A
144,,,C
145,4.0,1.0,D
145,4.0,3.0,D
145,4.0,5.0,D
146,4.0,,A
147,,1.0,Z
147,,3.0,Z
147,,5.0,Z
148,,,B
149,,36.0,C
150,6.0,,D
151,5.0,,B
152,1.0,1.0,A+
152,1.0,3.0,A+
152,1.0,5.0,A+
153,6.0,,D
154,6.0,1.0,A
154,6.0,3.0,A
154,6.0,5.0,A
155,6.0,37.0,Z
156,3.0,,C
157,,1.0,Z
157,,3.0,Z
157,,5.0,Z
158,4.0,,B
159,3.0,,D
160,4.0,38.0,A+
161,3.0,,Z
162,3.0,39.0,D
163,,,A
164,5.0,1.0,A+
164,5.0,3.0,A+
164,5.0,5.0,A+
165,5.0,40.0,F
166,1.0,41.0,Z
167,6.0,1.0,D
167,6.0,3.0,D
167,6.0,5.0,D
168,5.0,,A
169,1.0,,A+
170,5.0,42.0,A
171,5.0,43.0,D
172,5.0,1.0,A
172,5.0,3.0,A
172,5.0,5.0,A
173,3.0,44.0,A+
174,4.0,1.0,C
174,4.0,3.0,C
174,4.0,5.0,C
175,,45.0,D
176,5.0,,B
177,,,Z
178,1.0,,B
179,3.0,1.0,B
179,3.0,3.0,B
179,3.0,5.0,B
180,1.0,,B
181,3.0,,A+
182,,1.0,F
182,,3.0,F
182,,5.0,F
183,3.0,,A+
184,3.0,,B
185,3.0,46.0,C
186,1.0,1.0,A+
186,1.0,3.0,A+
186,1.0,5.0,A+
187,4.0,,F
188,4.0,1.0,A+
188,4.0,3.0,A+
188,4.0,5.0,A+
973,4.0,1.0,A+
973,4.0,3.0,A+
973,4.0,5.0,A+
189,5.0,,B
190,1.0,47.0,F
191,5.0,1.0,C
191,5.0,3.0,C
191,5.0,5.0,C
192,1.0,,A
193,1.0,48.0,F
194,1.0,,F
195,6.0,35.0,A
196,3.0,1.0,Z
196,3.0,3.0,Z
196,3.0,5.0,Z
197,,,Z
198,5.0,1.0,A
198,5.0,3.0,A
198,5.0,5.0,A
199,3.0,,B
200,3.0,,Z
201,,49.0,D
202,1.0,50.0,F
203,4.0,51.0,A
204,5.0,52.0,A+
205,1.0,1.0,D
205,1.0,3.0,D
205,1.0,5.0,D
206,3.0,1.0,Z
206,3.0,3.0,Z
206,3.0,5.0,Z
207,5.0,53.0,D
296,5.0,53.0,D
208,1.0,1.0,A
208,1.0,3.0,A
208,1.0,5.0,A
209,6.0,,D
210,1.0,,F
211,6.0,,A+
212,3.0,,Z
213,,,A
214,1.0,54.0,D
215,6.0,,B
216,1.0,55.0,A+
217,,,C
218,3.0,,D
219,3.0,1.0,F
219,3.0,3.0,F
219,3.0,5.0,F
220,6.0,1.0,B
220,6.0,3.0,B
220,6.0,5.0,B
221,3.0,,A
222,3.0,1.0,A+
222,3.0,3.0,A+
222,3.0,5.0,A+
223,3.0,1.0,C
223,3.0,3.0,C
223,3.0,5.0,C
224,1.0,1.0,B
224,1.0,3.0,B
224,1.0,5.0,B
225,6.0,1.0,C
225,6.0,3.0,C
225,6.0,5.0,C
226,4.0,,D
227,,,F
228,1.0,56.0,A+
229,4.0,,A
230,,57.0,A
231,,1.0,B
231,,3.0,B
231,,5.0,B
232,4.0,,C
233,6.0,1.0,D
233,6.0,3.0,D
233,6.0,5.0,D
234,3.0,58.0,F
235,3.0,,A
236,5.0,,A
237,1.0,,Z
238,4.0,,A+
239,4.0,1.0,F
239,4.0,3.0,F
239,4.0,5.0,F
240,5.0,,A+
241,,,F
242,3.0,1.0,A
242,3.0,3.0,A
242,3.0,5.0,A
243,4.0,59.0,B
244,1.0,60.0,F
245,1.0,,A
246,1.0,61.0,A
247,,1.0,F
247,,3.0,F
247,,5.0,F
248,6.0,,A
249,1.0,1.0,C
249,1.0,3.0,C
249,1.0,5.0,C
250,5.0,,D
251,3.0,,D
252,4.0,,C
253,,62.0,B
254,3.0,,F
255,6.0,,A
256,6.0,,D
257,3.0,1.0,D
257,3.0,3.0,D
257,3.0,5.0,D
801,3.0,1.0,D
801,3.0,3.0,D
801,3.0,5.0,D
258,6.0,63.0,B
259,6.0,,A+
260,3.0,,C
261,,64.0,D
262,6.0,1.0,Z
262,6.0,3.0,Z
262,6.0,5.0,Z
263,4.0,53.0,A+
264,4.0,,D
674,4.0,,D
265,5.0,65.0,F
266,,,B
267,1.0,1.0,D
267,1.0,3.0,D
267,1.0,5.0,D
268,5.0,,F
269,4.0,,F
270,1.0,,A
271,5.0,1.0,C
271,5.0,3.0,C
271,5.0,5.0,C
272,4.0,66.0,F
483,4.0,66.0,F
718,4.0,66.0,F
273,5.0,,B
274,6.0,,B
275,4.0,1.0,A+
275,4.0,3.0,A+
275,4.0,5.0,A+
276,1.0,,C
277,1.0,,F
278,6.0,,A
279,1.0,1.0,B
279,1.0,3.0,B
279,1.0,5.0,B
280,5.0,,B
281,5.0,1.0,B
281,5.0,3.0,B
281,5.0,5.0,B
282,6.0,1.0,D
282,6.0,3.0,D
282,6.0,5.0,D
283,6.0,67.0,A+
284,4.0,1.0,Z
284,4.0,3.0,Z
284,4.0,5.0,Z
285,6.0,,C
286,4.0,,D
287,6.0,68.0,A
288,4.0,,Z
289,3.0,,F
290,1.0,,Z
291,6.0,,A
292,,,F
293,5.0,,C
294,4.0,1.0,D
294,4.0,3.0,D
294,4.0,5.0,D
295,3.0,69.0,Z
207,3.0,70.0,A
296,3.0,70.0,A
297,6.0,71.0,F
298,6.0,,B
299,,,A
300,,72.0,F
301,,,B
302,,73.0,F
303,5.0,,A
304,4.0,74.0,A
305,1.0,,A+
306,1.0,1.0,D
306,1.0,3.0,D
306,1.0,5.0,D
307,,75.0,B
308,6.0,76.0,A+
309,1.0,,C
310,,1.0,D
310,,3.0,D
310,,5.0,D
311,5.0,,B
312,5.0,,A+
313,4.0,1.0,C
313,4.0,3.0,C
313,4.0,5.0,C
314,4.0,1.0,B
314,4.0,3.0,B
314,4.0,5.0,B
315,1.0,1.0,F
315,1.0,3.0,F
315,1.0,5.0,F
316,6.0,,B
317,5.0,77.0,Z
318,4.0,,D
319,,,C
320,,78.0,A
321,,,D
322,6.0,,Z
323,1.0,,F
324,4.0,79.0,F
325,6.0,,F
326,1.0,,Z
327,4.0,,Z
328,5.0,1.0,A
328,5.0,3.0,A
328,5.0,5.0,A
329,3.0,1.0,Z
329,3.0,3.0,Z
329,3.0,5.0,Z
330,5.0,1.0,A
330,5.0,3.0,A
330,5.0,5.0,A
331,5.0,,B
332,3.0,80.0,Z
333,,1.0,C
333,,3.0,C
333,,5.0,C
334,5.0,81.0,A
335,6.0,,C
336,3.0,82.0,D
337,4.0,83.0,A
338,6.0,,F
339,4.0,84.0,C
340,3.0,,A
341,1.0,85.0,Z
342,5.0,86.0,C
343,,,D
344,6.0,1.0,A
344,6.0,3.0,A
344,6.0,5.0,A
345,,,Z
346,,87.0,F
347,1.0,,A
348,3.0,88.0,Z
349,4.0,1.0,C
349,4.0,3.0,C
349,4.0,5.0,C
350,6.0,,C
351,5.0,1.0,A+
351,5.0,3.0,A+
351,5.0,5.0,A+
352,5.0,89.0,F
353,4.0,1.0,A
353,4.0,3.0,A
353,4.0,5.0,A
354,5.0,,Z
355,1.0,90.0,F
356,5.0,,F
357,1.0,,C
358,6.0,1.0,B
358,6.0,3.0,B
358,6.0,5.0,B
359,4.0,91.0,C
360,5.0,1.0,B
360,5.0,3.0,B
360,5.0,5.0,B
361,3.0,,Z
362,5.0,1.0,F
362,5.0,3.0,F
362,5.0,5.0,F
363,6.0,1.0,Z
363,6.0,3.0,Z
363,6.0,5.0,Z
364,1.0,,A
365,3.0,1.0,Z
365,3.0,3.0,Z
365,3.0,5.0,Z
366,6.0,1.0,Z
366,6.0,3.0,Z
366,6.0,5.0,Z
367,5.0,1.0,B
367,5.0,3.0,B
367,5.0,5.0,B
368,4.0,,B
369,4.0,,A+
370,4.0,,A+
371,1.0,92.0,D
372,,,B
373,4.0,,A
374,3.0,93.0,A
375,3.0,1.0,C
375,3.0,3.0,C
375,3.0,5.0,C
376,6.0,94.0,D
377,,95.0,D
378,5.0,1.0,A+
378,5.0,3.0,A+
378,5.0,5.0,A+
379,3.0,,B
380,4.0,1.0,A
380,4.0,3.0,A
380,4.0,5.0,A
381,5.0,1.0,A+
381,5.0,3.0,A+
381,5.0,5.0,A+
382,6.0,96.0,Z
383,4.0,97.0,Z
384,5.0,1.0,C
384,5.0,3.0,C
384,5.0,5.0,C
385,3.0,,Z
386,,,B
387,,,C
388,,98.0,F
389,,,Z
390,4.0,1.0,D
390,4.0,3.0,D
390,4.0,5.0,D
391,4.0,,Z
392,,,A
393,,,B
394,4.0,1.0,A+
394,4.0,3.0,A+
394,4.0,5.0,A+
395,6.0,99.0,A+
396,4.0,,C
397,3.0,100.0,Z
398,5.0,101.0,A+
399,,,F
400,4.0,1.0,B
400,4.0,3.0,B
400,4.0,5.0,B
401,1.0,102.0,Z
402,1.0,103.0,F
403,5.0,1.0,C
403,5.0,3.0,C
403,5.0,5.0,C
404,6.0,104.0,Z
405,1.0,1.0,A+
405,1.0,3.0,A+
405,1.0,5.0,A+
406,3.0,,D
407,5.0,,A
408,3.0,105.0,D
409,5.0,,Z
410,6.0,1.0,A
410,6.0,3.0,A
410,6.0,5.0,A
411,5.0,,A
412,1.0,,F
413,4.0,106.0,F
414,,,C
415,6.0,107.0,B
416,4.0,,D
417,5.0,108.0,C
418,1.0,,F
419,3.0,109.0,C
420,4.0,110.0,D
421,5.0,,B
422,3.0,,A
423,5.0,,C
424,4.0,1.0,B
424,4.0,3.0,B
424,4.0,5.0,B
425,3.0,,C
426,3.0,111.0,C
427,4.0,1.0,F
427,4.0,3.0,F
427,4.0,5.0,F
428,4.0,1.0,C
428,4.0,3.0,C
428,4.0,5.0,C
429,3.0,1.0,F
429,3.0,3.0,F
429,3.0,5.0,F
430,,,B
431,6.0,,D
432,1.0,,A
433,,,A
434,,1.0,F
434,,3.0,F
434,,5.0,F
435,,112.0,F
436,6.0,1.0,F
436,6.0,3.0,F
436,6.0,5.0,F
437,6.0,,A+
438,4.0,,F
439,,,Z
440,1.0,1.0,Z
440,1.0,3.0,Z
440,1.0,5.0,Z
441,4.0,,C
442,5.0,,D
443,4.0,,D
444,4.0,,A
445,6.0,,A
446,,1.0,A
446,,3.0,A
446,,5.0,A
447,3.0,,B
448,5.0,113.0,B
449,6.0,,C
450,4.0,,C
451,1.0,1.0,C
451,1.0,3.0,C
451,1.0,5.0,C
452,,1.0,D
452,,3.0,D
452,,5.0,D
453,6.0,,D
454,6.0,1.0,F
454,6.0,3.0,F
454,6.0,5.0,F
455,6.0,114.0,C
456,1.0,,A
457,3.0,,F
458,3.0,1.0,D
458,3.0,3.0,D
458,3.0,5.0,D
459,3.0,115.0,D
460,3.0,1.0,A+
460,3.0,3.0,A+
460,3.0,5.0,A+
461,3.0,116.0,Z
462,6.0,,A
463,,117.0,B
464,5.0,118.0,C
465,3.0,1.0,F
465,3.0,3.0,F
465,3.0,5.0,F
466,6.0,,A+
467,,119.0,B
468,3.0,,F
469,5.0,120.0,A+
470,4.0,1.0,A+
470,4.0,3.0,A+
470,4.0,5.0,A+
471,6.0,121.0,A
472,3.0,122.0,A+
473,4.0,,C
474,5.0,,D
475,6.0,,A
476,5.0,123.0,A
477,1.0,1.0,Z
477,1.0,3.0,Z
477,1.0,5.0,Z
478,6.0,1.0,Z
478,6.0,3.0,Z
478,6.0,5.0,Z
479,4.0,124.0,A+
480,6.0,125.0,D
481,,1.0,C
481,,3.0,C
481,,5.0,C
482,6.0,,A+
272,,126.0,A
483,,126.0,A
718,,126.0,A
484,5.0,,A+
485,3.0,,Z
486,5.0,47.0,C
487,1.0,,Z
488,6.0,,C
489,,127.0,F
490,5.0,,B
491,3.0,,F
492,3.0,128.0,F
493,,,F
494,,1.0,A+
494,,3.0,A+
494,,5.0,A+
495,,,Z
496,4.0,1.0,A+
496,4.0,3.0,A+
496,4.0,5.0,A+
497,,,B
498,6.0,1.0,D
498,6.0,3.0,D
498,6.0,5.0,D
499,5.0,1.0,A+
499,5.0,3.0,A+
499,5.0,5.0,A+
500,5.0,,Z
501,,,C
502,4.0,129.0,C
503,4.0,130.0,Z
504,6.0,75.0,Z
505,4.0,,A+
506,6.0,131.0,A+
507,,1.0,Z
507,,3.0,Z
507,,5.0,Z
508,6.0,1.0,A
508,6.0,3.0,A
508,6.0,5.0,A
509,5.0,1.0,B
509,5.0,3.0,B
509,5.0,5.0,B
510,1.0,,C
511,6.0,30.0,F
512,5.0,1.0,Z
512,5.0,3.0,Z
512,5.0,5.0,Z
513,6.0,132.0,A
514,5.0,,A
515,3.0,,F
516,5.0,,B
517,3.0,,A
518,3.0,,A
519,5.0,,B
520,,,F
521,,,C
913,,,C
522,,1.0,C
522,,3.0,C
522,,5.0,C
523,3.0,,F
524,,,A
525,4.0,,A+
526,,133.0,F
527,1.0,134.0,A
528,1.0,135.0,A+
529,,,C
530,6.0,1.0,F
530,6.0,3.0,F
530,6.0,5.0,F
531,1.0,,F
532,6.0,136.0,C
533,,1.0,F
533,,3.0,F
533,,5.0,F
534,1.0,1.0,Z
534,1.0,3.0,Z
534,1.0,5.0,Z
535,1.0,1.0,Z
535,1.0,3.0,Z
535,1.0,5.0,Z
536,,,D
537,,,D
538,3.0,,D
539,3.0,1.0,F
539,3.0,3.0,F
539,3.0,5.0,F
540,,,F
541,1.0,,Z
542,3.0,1.0,B
542,3.0,3.0,B
542,3.0,5.0,B
543,,1.0,Z
543,,3.0,Z
543,,5.0,Z
544,5.0,,F
545,,1.0,C
545,,3.0,C
545,,5.0,C
546,,137.0,A+
547,1.0,1.0,B
547,1.0,3.0,B
547,1.0,5.0,B
548,4.0,,F
549,3.0,138.0,Z
550,3.0,,C
551,1.0,139.0,A+
552,4.0,,A
553,4.0,1.0,A
553,4.0,3.0,A
553,4.0,5.0,A
554,4.0,,A+
555,,1.0,Z
555,,3.0,Z
555,,5.0,Z
556,4.0,1.0,F
556,4.0,3.0,F
556,4.0,5.0,F
557,4.0,,D
558,6.0,140.0,D
559,3.0,,D
560,5.0,,B
561,1.0,,C
562,5.0,,Z
563,3.0,,B
564,1.0,1.0,D
564,1.0,3.0,D
564,1.0,5.0,D
565,3.0,141.0,Z
566,5.0,,C
567,3.0,1.0,A
567,3.0,3.0,A
567,3.0,5.0,A
568,5.0,142.0,A
569,5.0,1.0,Z
569,5.0,3.0,Z
569,5.0,5.0,Z
570,5.0,,C
571,5.0,143.0,B
572,5.0,,A+
573,,,A+
574,,144.0,A+
575,,,Z
576,6.0,1.0,D
576,6.0,3.0,D
576,6.0,5.0,D
577,1.0,,Z
578,6.0,1.0,B
578,6.0,3.0,B
578,6.0,5.0,B
579,,1.0,F
579,,3.0,F
579,,5.0,F
580,6.0,1.0,Z
580,6.0,3.0,Z
580,6.0,5.0,Z
581,3.0,145.0,A
582,6.0,146.0,Z
583,6.0,,F
584,,,F
585,3.0,,B
586,6.0,1.0,A+
586,6.0,3.0,A+
586,6.0,5.0,A+
587,6.0,147.0,B
588,3.0,,B
589,4.0,148.0,C
590,6.0,1.0,B
590,6.0,3.0,B
590,6.0,5.0,B
591,3.0,,F
592,,,C
593,6.0,,A
594,,,Z
595,6.0,,Z
596,3.0,,B
597,4.0,149.0,F
598,3.0,150.0,B
599,1.0,1.0,B
599,1.0,3.0,B
599,1.0,5.0,B
600,4.0,,Z
601,,1.0,C
601,,3.0,C
601,,5.0,C
602,5.0,,A
603,5.0,1.0,A
603,5.0,3.0,A
603,5.0,5.0,A
604,6.0,,A
605,,1.0,D
605,,3.0,D
605,,5.0,D
606,3.0,1.0,A
606,3.0,3.0,A
606,3.0,5.0,A
607,5.0,,B
608,1.0,,F
609,1.0,,D
610,5.0,151.0,D
611,4.0,,F
612,1.0,152.0,C
613,3.0,153.0,A
614,1.0,154.0,D
615,,155.0,Z
616,6.0,1.0,A
616,6.0,3.0,A
616,6.0,5.0,A
617,,,A
618,4.0,,C
619,4.0,,Z
620,4.0,,B
621,3.0,156.0,F
622,4.0,,F
623,1.0,,C
624,6.0,,C
625,,157.0,A+
626,4.0,158.0,B
627,5.0,,A+
628,3.0,1.0,B
628,3.0,3.0,B
628,3.0,5.0,B
629,3.0,1.0,D
629,3.0,3.0,D
629,3.0,5.0,D
630,1.0,,A
631,5.0,159.0,D
632,4.0,,F
633,5.0,1.0,A
633,5.0,3.0,A
633,5.0,5.0,A
634,6.0,1.0,D
634,6.0,3.0,D
634,6.0,5.0,D
635,5.0,,F
636,6.0,160.0,F
637,5.0,,F
638,6.0,,F
639,3.0,161.0,Z
640,5.0,162.0,C
641,3.0,163.0,D
642,6.0,,A+
643,3.0,1.0,D
643,3.0,3.0,D
643,3.0,5.0,D
644,6.0,,C
645,,164.0,C
646,,,A+
647,,102.0,A+
648,3.0,1.0,C
648,3.0,3.0,C
648,3.0,5.0,C
649,3.0,,A+
650,1.0,165.0,Z
651,6.0,166.0,C
652,6.0,167.0,A+
653,,,D
654,6.0,,Z
655,6.0,,C
656,1.0,,A+
657,1.0,168.0,A
658,1.0,169.0,C
659,1.0,,F
660,6.0,170.0,A
661,6.0,,F
662,,1.0,F
662,,3.0,F
662,,5.0,F
663,5.0,1.0,C
663,5.0,3.0,C
663,5.0,5.0,C
664,1.0,,A
665,1.0,171.0,B
666,4.0,,C
667,5.0,1.0,C
667,5.0,3.0,C
667,5.0,5.0,C
668,6.0,,A+
669,5.0,,C
670,4.0,,F
671,3.0,,A
672,,172.0,F
673,3.0,173.0,D
264,4.0,174.0,D
674,4.0,174.0,D
675,3.0,,A
676,3.0,1.0,B
676,3.0,3.0,B
676,3.0,5.0,B
677,1.0,1.0,B
677,1.0,3.0,B
677,1.0,5.0,B
678,4.0,175.0,D
679,3.0,1.0,B
679,3.0,3.0,B
679,3.0,5.0,B
680,,,B
681,,176.0,D
682,1.0,,D
683,1.0,1.0,A
683,1.0,3.0,A
683,1.0,5.0,A
684,5.0,1.0,F
684,5.0,3.0,F
684,5.0,5.0,F
685,3.0,1.0,B
685,3.0,3.0,B
685,3.0,5.0,B
686,5.0,1.0,B
686,5.0,3.0,B
686,5.0,5.0,B
687,6.0,,F
688,4.0,,A+
689,5.0,177.0,Z
690,,,Z
691,6.0,,F
692,,178.0,B
693,6.0,,C
694,1.0,1.0,A+
694,1.0,3.0,A+
694,1.0,5.0,A+
695,4.0,,D
696,5.0,1.0,Z
696,5.0,3.0,Z
696,5.0,5.0,Z
697,6.0,179.0,C
698,5.0,180.0,B
699,4.0,,A+
700,,,F
701,,,A
702,,,C
703,3.0,1.0,D
703,3.0,3.0,D
703,3.0,5.0,D
704,3.0,181.0,B
705,5.0,1.0,F
705,5.0,3.0,F
705,5.0,5.0,F
706,4.0,1.0,B
706,4.0,3.0,B
706,4.0,5.0,B
707,,1.0,A+
707,,3.0,A+
707,,5.0,A+
708,4.0,182.0,F
709,6.0,1.0,A+
709,6.0,3.0,A+
709,6.0,5.0,A+
710,3.0,183.0,D
711,1.0,1.0,Z
711,1.0,3.0,Z
711,1.0,5.0,Z
712,,1.0,Z
712,,3.0,Z
712,,5.0,Z
713,,184.0,C
714,,,A+
715,3.0,,D
716,5.0,,Z
717,,,F
272,4.0,185.0,A+
483,4.0,185.0,A+
718,4.0,185.0,A+
719,4.0,,F
720,6.0,1.0,A
720,6.0,3.0,A
720,6.0,5.0,A
721,,186.0,A
722,,187.0,B
723,6.0,,B
724,6.0,188.0,C
725,1.0,189.0,A
726,3.0,,B
727,3.0,,A
728,5.0,,A
729,6.0,,D
730,1.0,,B
731,4.0,,F
732,3.0,,Z
733,1.0,77.0,A
734,5.0,,A+
735,,190.0,D
736,5.0,,A+
737,5.0,,Z
738,5.0,137.0,F
739,3.0,,D
740,,,C
741,,,C
742,5.0,191.0,A+
743,6.0,192.0,A+
744,4.0,,Z
745,6.0,171.0,Z
746,4.0,1.0,A+
746,4.0,3.0,A+
746,4.0,5.0,A+
747,,,A+
748,1.0,,C
749,3.0,,B
750,4.0,1.0,A
750,4.0,3.0,A
750,4.0,5.0,A
751,6.0,1.0,A+
751,6.0,3.0,A+
751,6.0,5.0,A+
752,3.0,193.0,C
753,3.0,,D
754,1.0,,A
755,4.0,,F
756,1.0,,A
757,1.0,,A
758,3.0,,A
759,1.0,1.0,A
759,1.0,3.0,A
759,1.0,5.0,A
760,6.0,1.0,C
760,6.0,3.0,C
760,6.0,5.0,C
761,,,C
762,3.0,194.0,Z
763,,1.0,D
763,,3.0,D
763,,5.0,D
764,3.0,1.0,C
764,3.0,3.0,C
764,3.0,5.0,C
765,6.0,,D
766,6.0,195.0,B
767,,,A+
768,4.0,,Z
769,5.0,,Z
770,6.0,1.0,A+
770,6.0,3.0,A+
770,6.0,5.0,A+
771,5.0,,C
772,3.0,,A+
773,3.0,196.0,B
774,1.0,,A
775,,,Z
776,5.0,,B
777,3.0,,F
778,4.0,1.0,D
778,4.0,3.0,D
778,4.0,5.0,D
779,6.0,1.0,C
779,6.0,3.0,C
779,6.0,5.0,C
780,,,B
781,5.0,,A
782,4.0,,D
783,6.0,197.0,A
784,3.0,,D
785,1.0,1.0,A+
785,1.0,3.0,A+
785,1.0,5.0,A+
786,1.0,,C
787,5.0,1.0,Z
787,5.0,3.0,Z
787,5.0,5.0,Z
788,,,Z
789,1.0,198.0,B
790,,,A
791,4.0,199.0,D
792,4.0,,A
793,,200.0,A
794,4.0,201.0,C
795,4.0,,A+
796,3.0,1.0,C
796,3.0,3.0,C
796,3.0,5.0,C
797,6.0,202.0,Z
798,,,Z
799,5.0,203.0,A
800,4.0,1.0,Z
800,4.0,3.0,Z
800,4.0,5.0,Z
257,,204.0,D
801,,204.0,D
802,4.0,205.0,C
803,1.0,1.0,F
803,1.0,3.0,F
803,1.0,5.0,F
804,3.0,1.0,C
804,3.0,3.0,C
804,3.0,5.0,C
805,3.0,,A+
806,4.0,1.0,A
806,4.0,3.0,A
806,4.0,5.0,A
807,3.0,,C
808,1.0,1.0,A
808,1.0,3.0,A
808,1.0,5.0,A
809,5.0,,D
810,5.0,,D
811,1.0,1.0,Z
811,1.0,3.0,Z
811,1.0,5.0,Z
812,3.0,1.0,Z
812,3.0,3.0,Z
812,3.0,5.0,Z
813,4.0,1.0,B
813,4.0,3.0,B
813,4.0,5.0,B
814,1.0,,D
815,,1.0,C
815,,3.0,C
815,,5.0,C
816,5.0,206.0,B
817,3.0,,C
818,5.0,207.0,Z
819,1.0,,D
820,3.0,1.0,A
820,3.0,3.0,A
820,3.0,5.0,A
821,4.0,,B
822,1.0,,B
823,6.0,1.0,F
823,6.0,3.0,F
823,6.0,5.0,F
824,4.0,208.0,D
825,6.0,,Z
918,6.0,,Z
826,4.0,1.0,Z
826,4.0,3.0,Z
826,4.0,5.0,Z
827,5.0,1.0,F
827,5.0,3.0,F
827,5.0,5.0,F
828,,,D
829,1.0,,B
830,3.0,,D
831,1.0,1.0,D
831,1.0,3.0,D
831,1.0,5.0,D
832,4.0,,A
833,,,F
834,3.0,,Z
835,4.0,209.0,B
836,3.0,,Z
837,,,A
